Add offer to my profile,Přidat nabídku do mého profilu
Continue watching,Pokračovat ve sledování
Extra options,Další možnosti
Favorite channels,Oblíbené stanice
Favorite movies,Oblíbené filmy
Favourite channels,Oblíbené stanice
Favourite movies,Oblíbené filmy
Hide Adult,Skrýt obsah pro dospělé
Manage Favorites,Spravovat oblíbené
My Account,Můj účet
Packages,Balíčky
Premium channels packages,Prémiové balíčky stanic
Reminders,Upomínky
Remove Favorite,Odstranit oblíbený
Remove Favorites,Odstranit oblíbené
Remove Reminder,Odstranit upomínku
Remove Reminders,Odstranit upomínky
Rental history,Historie výpůjček
Show Adult,Ukázat obsah pro dospělé
TV,TV
Vouchers,Poukazy
Watch favorite channels,Sledovat oblíbené stanice
You can now watch a movie from {owner} for free. Click on the button to go to the {owner} catalog.,Nyní můžete zdarma sledovat film od {owner}. Zmáčkněte tlačítko pro přechod do katalogu {owner}.
You can now watch the movie {movie_name} for free. Click on the button to go to the movie details.,Nyní můžete zdarma sledovat film {movie_name}. Zmáčkněte tlačítko pro přechod do podrobností filmu.
You can now watch the {owner} channels for free. On top of that you can also also enjoy the {owner2} catalog in {vod_catalog_name}.,Nyní můžete zdarma sledovat stanice od {owner}. Navíc si také můžete vychutnat katalog {owner2} na {vod_catalog_name}.
Your voucher code was accepted,Kód vašeho poukazu byl přijat
actions_header,Akce
enter here your 14-digit voucher code,zadejte váš 14místný kód poukazu
onDemand,Video naVyžádání
per mth,za měsíc
