Add offer to my profile,Add offer to my profile
Continue watching,Continue watching
Extra options,Extra options
Favorite channels,Favorite channels
Favorite movies,Favorite movies
Favourite channels,Favourite channels
Favourite movies,Favourite movies
Hide Adult,Hide Adult
Manage Favorites,Manage Favorites
My Account,My Account
Packages,Packages
Premium channels packages,Premium channels packages
Reminders,Reminders
Remove Favorite,Remove Favorite
Remove Favorites,Remove Favorites
Remove Reminder,Remove Reminder
Remove Reminders,Remove Reminders
Rental history,Rental history
Show Adult,Show Adult
TV,TV
Vouchers,Vouchers
Watch favorite channels,Watch favorite channels
You can now watch a movie from {owner} for free. Click on the button to go to the {owner} catalog.,You can now watch a movie from {owner} for free. Click on the button to go to the {owner} catalog.
You can now watch the movie {movie_name} for free. Click on the button to go to the movie details.,You can now watch the movie {movie_name} for free. Click on the button to go to the movie details.
You can now watch the {owner} channels for free. On top of that you can also also enjoy the {owner2} catalog in {vod_catalog_name}.,You can now watch the {owner} channels for free. On top of that you can also also enjoy the {owner2} catalog in {vod_catalog_name}.
Your voucher code was accepted,Your voucher code was accepted
actions_header,ACTIONS
enter here your 14-digit voucher code,Enter here your 14-digit voucher code
onDemand,Video on Demand
per mth,per mth
