Add offer to my profile,Ajouter offre à mon profil
Continue watching,Continuer à regarder
Extra options,Options supplémentaires
Favorite channels,Chaînes favorites
Favorite movies,Films favoris
Favourite channels,Chaînes favorites
Favourite movies,Films favoris
Hide Adult,Masquer adultes
Manage Favorites,Gérer les favoris
My Account,Mon compte
Packages,Forfaits
Premium channels packages,Forfaits de chaînes premium
Reminders,Rappels
Remove Favorite,Supprimer favori
Remove Favorites,Supprimer favoris
Remove Reminder,Supprimer rappel
Remove Reminders,Supprimer rappels
Rental history,Historique de locations
Show Adult,Afficher adultes
TV,TV
Vouchers,Codes de réduction
Watch favorite channels,Regarder chaînes favorites
You can now watch a movie from {owner} for free. Click on the button to go to the {owner} catalog.,Vous pouvez maintenant regarder gratuitement un film de {owner}. Cliquez sur le bouton pour accéder au catalogue de {owner}.
You can now watch the movie {movie_name} for free. Click on the button to go to the movie details.,Vous pouvez maintenant regarder gratuitement le film {movie_name}. Cliquez sur le bouton pour accéder aux détails du film.
You can now watch the {owner} channels for free. On top of that you can also also enjoy the {owner2} catalog in {vod_catalog_name}.,"Vous pouvez maintenant regarder les chaînes de {owner}. De plus, vous pouvez aussi profiter du catalogue de {owner2} dans {vod_catalog_name}."
Your voucher code was accepted,Votre code de réduction a été accepté
actions_header,Actions
enter here your 14-digit voucher code,Introduisez ici votre code de réduction à 14 chiffres
onDemand,Vidéo à la demande
per mth,par ms
