Add offer to my profile,Toevoegen aan mijn account
Continue watching,Verder kijken
Extra options,Extra Opties
Favorite channels,Favorieten
Favorite movies,Favorieten
Favourite channels,Favorieten zenders
Favourite movies,Favourite movies
Hide Adult,Verberg 18+
Manage Favorites,Favorieten beheren
My Account,Mijn Account
Packages,Pakketten
Premium channels packages,Premium zenders
Reminders,Herinneringen
Remove Favorite,Favoriet verwijderen
Remove Favorites,Verwijder favoriet
Remove Reminder,Herinnering verwijderen
Remove Reminders,Verwijder herinnering
Rental history,Reeds bekeken
Show Adult,Toon 18+
TV,TV
Vouchers,Tegoedbon
Watch favorite channels,Favorieten bekijken
You can now watch a movie from {owner} for free. Click on the button to go to the {owner} catalog.,Je mag nu een video van {owner} gratis bekijken. Klik hier onder op de knop om naar het filmaanbod van {owner} te gaan.
You can now watch the movie {movie_name} for free. Click on the button to go to the movie details.,Je mag nu {movie_name} gratis bekijken. Klik hier onder op de knop om naar de detailpagina te gaan.
You can now watch the {owner} channels for free. On top of that you can also also enjoy the {owner2} catalog in {vod_catalog_name}.,Je kan nu de {owner} zender(s) gratis bekijken. Tevens mag je nu ook kijken naar het filmaanbod van {owner2}.
Your voucher code was accepted,De voucher is geaccepteerd
actions_header,Acties
enter here your 14-digit voucher code,Vul hier de 14-cijferige voucher code in
onDemand,Films & Series
per mth,per maand
