ADULTVOD,VoD pro dospělé
APPS,Apps
All temporarily stored content for pause tv will be removed once you go back to live. Are you sure?,Veškerý obsah dočasně uložený během režimu pozastavení TV bude odstraněn jakmile přejdete zpět do režimu živého obrazu. Jste si jisti?
All temporarily stored content for pause tv will be removed once you zap. Are you sure you want to zap?,"Veškerý obsah dočasně uložený během režimu pozastavení TV bude odstraněn jakmile přepnete. Jste si jisti, že chcete přepnout?"
April,Duben
April_abbrev,Dub
Are you sure you want to continue and delete all recordings?,"Jste si jisti, že chcete pokračovat a smazat veškeré nahrávky?"
August,Srpen
August_abbrev,Srp
BACK,Zpět
Back to details,Zpět k podrobnostem
Backspace,Backspace
"Because you restart tv buffer is going to an end, we start your restarted program, so you are able to finish watching it.","Protože se načítání v režimu pozastavení TV blíží ke konci, opětovně spouštíme pořad, abyste jej mohli zhlédnout celý."
"Before you can play this video, you need to have the {product_name}.",Pro přehrávání na tohoto videa musíte mít {product_name}.
Before you can record this channel you need to have the {offer_name} offer,Pro nahrávání na této stanici musíte mít nabídku {offer_name}
Before you can restart this channel you need to have the {offer_name} offer,Pro opětovné spuštění pořadů na této stanici musíte mít nabídku {offer_name}
CAST,Cast
CLOSE,Zavřít
Cannot play the recording,Nahrávku nelze přehrát
Cannot record this channel,Na této stanici nelze nahrávat
Cannot restart this channel,Na této stanici nelze opětovně spouštět pořad
Cast,Cast
Channel not found,Stanice nenalezen
Clear_keyboard,Jasný
Close,Zavřít
Connection error,Chyba připojení
"Content is only available with offer, for more info call {callcenter_num}","Připojení je pouze dostupné s nabídkou, pro více informací volejte na {callcenter_num}"
DISCOVERY,Discovery
December,Prosinec
December_abbrev,Pro
Delete recording,Smazat nahrávku
Director,Režisér
Duration,Trvání
Enter PIN to open adult portal,Zadat PIN pro otevření portálu pro dospělé
Enter here your 14-digit voucher code,Enter here your 14-digit voucher code
Enter parental PIN,Zadejte rodičovský PIN kód ke shlédnutí {chan}
Episode ended,Díl skončil
Error,Chyba
