ADULTVOD,Erwachsenen VoD
APPS,Apps
All temporarily stored content for pause tv will be removed once you go back to live. Are you sure?,"Wenn Sie zu Live-TV zurückkehren, werden alle zwischengespeicherten Inhalte der Pausen-Funktion gelöscht. Sind Sie sicher?"
All temporarily stored content for pause tv will be removed once you zap. Are you sure you want to zap?,"Wenn Sie umschalten, werden alle zwischengespeicherten Inhalte der Pausen-Funktion gelöscht. Sind Sie sicher?"
April,April
April_abbrev,Apr
Are you sure you want to continue and delete all recordings?,"Sind Sie sicher, dass Sie mit dem Löschen aller Aufnahmen fortfahren möchten?"
August,August
August_abbrev,Aug
BACK,Zurück
Back to details,Zurück zur Detailseite
Backspace,Rücktaste
"Because you restart tv buffer is going to an end, we start your restarted program, so you are able to finish watching it.","Da Ihr Neustart-TV-Puffer sich dem Ende nähert, starten wir Ihr neugestartetes Programm, damit Sie es zu Ende sehen können."
"Before you can play this video, you need to have the {product_name}.","Bevor Sie dieses Video abspielen können, müssen Sie den '{product_name}' haben."
Before you can record this channel you need to have the {offer_name} offer,"Bevor Sie diesen Kanal aufzeichnen können, müssen Sie das  {offer_name} Angebot haben"
Before you can restart this channel you need to have the {offer_name} offer,"Bevor Sie diesen Kanal neustarten können, müssen Sie das {offer_name} Angebot haben"
CAST,Besetzung
CLOSE,Schließen
Cannot play the recording,Wiedergabe der Aufnahme nicht möglich
Cannot record this channel,Kann diesen Kanal nicht aufnehmen
Cannot restart this channel,Kann diesen Kanal nicht neustarten
Cast,Besetzung
Channel not found,Kanal nicht gefunden
Clear_keyboard,LÖSCHEN
Close,Schließen
Connection error,Verbindungsproblem
"Content is only available with offer, for more info call {callcenter_num}",Dieser Inhalt ist Bestandteil eines kostenpflichtigen Angebotes. Für weitere Informationen wenden Sie sich bitte an unseren Kundenservice unter der folgenden Rufnummer: {callcenter_num}
DISCOVERY,Entdecken
December,Dezember
December_abbrev,Dec
Delete recording,Aufnahme löschen
Director,Regisseur
Duration,Laufzeit
Enter PIN to open adult portal,Jugendschutz-PIN erforderlich um das Erwachsenenportal zu öffnen. Geben Sie bitte Ihren Jugendschutz-PIN ein
Enter here your 14-digit voucher code,Geben Sie hier Ihren 14-stelligen Gutschein-Code ein
Enter parental PIN,"Jugendschutz-PIN erforderlich - Um {chan} zu sehen, geben Sie bitte Ihren Jugendschutz-PIN ein"
Episode ended,Ende der Episode
Error,Es ist ein Fehler aufgetreten
Expand description,Erweiterte Beschreibung
Expiration time exceeded,Ablaufzeit überschritten
External page,Eine externe Seite wird geöffnet
FAVORITE,Favorit
FST scan required,FST scan required
FUTURE,Vorab ansehen
Failed to play the recording,Die Wiedergabe der Aufnahme ist fehlgeschlagen
Favorites,Favoriten
February,Februar
February_abbrev,Feb
Friday,Freitag
Friday_abbrev,Fri
GENRE,Genre
Genre,Genre
Going to standby in {0} sec,Schaltet sich in {0} Sekunden in den Standby Modus
Instant recording failed,Sofortaufnahme nicht gelungen
Instant recording started,Sofortaufnahme gestartet
Instant recording stopped,Sofortaufnahme gestoppt
Insufficient Funds,Nicht ausreichendes Guthaben - Ihr monatliches Limit wurde erreicht
Internal storage reached the limit.,Interner Speicherplatz voll
It is not possible to rewind further.,Weiteres zurückspulen nicht möglich
January,Jänner
January_abbrev,Jan
July,Juli
July_abbrev,Jul
June,Juni
June_abbrev,Jun
Manual search,Manuelle Suche
March,März
March_abbrev,Mar
May,May
May_abbrev,May
Monday,Montag
Monday_abbrev,Mo
More episodes of,Weitere Episoden von...
More movies of,Weitere Filme von...
Movie ended,Film beendet
My Account,Mein Konto
New update available,Neues Update verfügbar
No I don't,"Nein, ich möchte nicht."
No channels available,Keine Kanäle verfügbar
No program information,Keine Programminformationen verfügbar
No search results found,Keine Suchergebnisse gefunden
"No, keep watching Restart tv","Nein, Restart TV weiter ansehen"
"No, stay in Pause TV mode",Nein - Im Pausen TV-Modus verbleiben
"No, stay on current channel",Nein - auf aktuellem Kanal verbleiben
Not allowed to record last 15 minutes,Die Aufnahme der letzten 15 Minuten ist nicht zugelassen
Not available,Nicht verfügbar
November,November
November_abbrev,Nov
OSD_dialog_no,Nein
OSD_dialog_yes,Ja
OSD_remove_recordings_header,Aufnahmen entfernen
October,Oktober
October_abbrev,Okt
Offer,Angebot
Offline,Offline
On demand ended,On demand beendet
PAST,VORHERIGES verpasst
PIN incorrect,PIN nicht korrekt
Parental content blocked,Der Inhalt für Erwachsene wurde blockiert - bitte geben Sie Ihren Jugendschutz-PIN ein
