ADULTVOD,Adult VOD
APPS,Apps
All temporarily stored content for pause tv will be removed once you go back to live. Are you sure?,All temporarily stored content for pause tv will be removed once you go back to live. Are you sure?
All temporarily stored content for pause tv will be removed once you zap. Are you sure you want to zap?,All temporarily stored content for pause tv will be removed once you zap. Are you sure you want to zap?
April,April
April_abbrev,Apr
Are you sure you want to continue and delete all recordings?,Are you sure you want to continue and delete all recordings?
August,August
August_abbrev,Aug
BACK,Back
Back to details,back to details
Backspace,BACKSPACE
"Because you restart tv buffer is going to an end, we start your restarted program, so you are able to finish watching it.","Because you restart tv buffer is going to an end, we start your restarted program, so you are able to finish watching it."
"Before you can play this video, you need to have the {product_name}.","Before you can play this video, you need to have the '{product_name}'."
Before you can record this channel you need to have the {offer_name} offer,Before you can record this channel you need to have the {offer_name} offer
Before you can restart this channel you need to have the {offer_name} offer,Before you can restart this channel you need to have the {offer_name} offer
CAST,Cast
CLOSE,Close
Cannot play the recording,Cannot play the recording
Cannot record this channel,Cannot record this channel
Cannot restart this channel,Cannot restart this channel
Cast,Cast
Channel not found,Channel not found
Clear_keyboard,CLEAR
Close,Close
Connection error,Connection error
"Content is only available with offer, for more info call {callcenter_num}",Content is only available with an offer. For more information you can call {callcenter_num}.
DISCOVERY,Discovery
December,December
December_abbrev,Dec
Delete recording,Delete recording
Director,Director
Duration,Duration
Enter PIN to open adult portal,Enter parental PIN to open adult portal
Enter here your 14-digit voucher code,Enter here your 14-digit voucher code
Enter parental PIN,Enter the parental pincode to watch {chan}
Episode ended,The episode ended
Error,Error occured
Expand description,expand
Expiration time exceeded,Expiration time exceeded
External page,Opening external page
FAVORITE,Favorite
FST scan required,FST scan required
FUTURE,Watch upfront
Failed to play the recording,Failed to play the recording
Favorites,Favorites
February,February
February_abbrev,Feb
Friday,Friday
Friday_abbrev,Fri
GENRE,Genre
Genre,Genre
Going to standby in {0} sec,Going to standby in {0} seconds
Instant recording failed,Instant recording failed
Instant recording started,Instant recording started
Instant recording stopped,Instant recording stopped
Insufficient Funds,Your monthly limit has been reached
Internal storage reached the limit.,Internal storage reached the limit.
It is not possible to rewind further.,It is not possible to rewind any further.
January,January
January_abbrev,Jan
July,July
July_abbrev,Jul
June,June
June_abbrev,Jun
Manual search,Manual search
March,March
March_abbrev,Mar
May,May
May_abbrev,May
Monday,Monday
Monday_abbrev,Mon
More episodes of,More episodes of ...
More movies of,More movies of ...
Movie ended,The movie ended
My Account,My Account
New update available,New update available
No I don't,No I don't
No channels available,No channels available
No program information,No program information
No search results found,No search results found
"No, keep watching Restart tv","No, keep watching Restart tv"
"No, stay in Pause TV mode","No, stay in Pause TV mode"
"No, stay on current channel","No, stay on current channel"
Not allowed to record last 15 minutes,Not allowed to record last 15 minutes
Not available,Not available
November,November
November_abbrev,Nov
OSD_dialog_no,No
OSD_dialog_yes,Yes
OSD_remove_recordings_header,Remove recordings
October,October
October_abbrev,Oct
Offer,Offer
Offline,Offline
On demand ended,On demand ended
PAST,Missed
PIN incorrect,Wrong pincode
Parental content blocked,Enter parental control pincode
Parental control,Parental control
Pause TV buffer reached,Pause TV buffer reached
PauseTV,Pause TV
Play from beginning,Play from beginning
Play recording,Play recording
Play video,Play video
Please check your cables and internet connection,Please check your cables and internet connection
Please choose a movie deal,Please choose a movie deal
Please choose payment option,Please choose payment option
Preparing the recording,Preparing the recording
Price,Price
Price from,Price from
Program ended,The program ended
RADIO,Radio
RATE,Rate
RECORDINGS,Recordings
REMIND,Remind
RENT EPISODE,Rent episode
RENT MOVIE,Rent movie
RENT PROGRAM,Rent program
RENTAL_Offers_AcceptBtn,Accept payment
RENTAL_Offers_Desc_Deals,"This movie would be available for 30 days after renting. When you start watching this movie, it is possible to watch or restart the movie for {hours} hours before ending the rental period."
RENTAL_Offers_Desc_DealsAndProducts,"Your choice is also part of a package. When you rent the single video its available for 30 days. When you start watching the video, its available for {hours} hours"
RENTAL_Offers_Desc_Products,Your choice is part of a package. The package will give you unlimited access to the content for a certain period of time.
RENTAL_Offers_Discount,Discount
RENTAL_Offers_MovieLabel,Single Movie
RENTAL_Offers_Original_Price,Original Price
RENTAL_Offers_PayMsg1,The following costs will be charged:
RENTAL_Offers_ProductLabel,Package
RENTAL_Offers_Title,Payment options
RENTAL_Payment_Chosen,Chosen:
RENTAL_Payment_SubTitle,Please enter rental PIN
RENTAL_Payment_Success,Success
RENTAL_Payment_Title,Payment verification
RENTAL_Policy_AcceptButton,Accept
RENTAL_Policy_BackButtton,Back
RENTAL_Policy_CheckBoxDescription,I have read the general terms and fully agree.
RENTAL_Policy_Description1,Read on our website the general terms before you continue.
RENTAL_Policy_Description2,These general terms are valid according the referencemodel for General Terms for Internet access.This referencemodel has been created by the Consumentenbond and Sociaal- Economische Raad.
RENTAL_Policy_Title,General terms
RENTAL_Voucher_Cancel,Cancel
RENTAL_Voucher_Proceed,Proceed
Record AlreadyModified,AlreadyModified
Record Complete,Record Complete
