ADULTVOD,Felnőtt VOD
APPS,Apps
All temporarily stored content for pause tv will be removed once you go back to live. Are you sure?,"A tévéműsor pillanatmegállítása után ideiglenesen felvett tartalom teljes egészében törlődik, amikor visszatér az élő tévézéshez. Biztosan folytatja?"
All temporarily stored content for pause tv will be removed once you zap. Are you sure you want to zap?,"A tévéműsor pillanatmegállítása után ideiglenesen felvett tartalom teljes egészében törlődik, amikor elkapcsol. Biztosan elkapcsol?"
April,Április
April_abbrev,Ápr
Are you sure you want to continue and delete all recordings?,"Biztosan folytatja, és törli az összes felvételt?"
August,Augusztus
August_abbrev,Aug
BACK,Vissza
Back to details,Vissza a részletekhez
Backspace,Törlés
"Because you restart tv buffer is going to an end, we start your restarted program, so you are able to finish watching it.","Mivel a tévéműsor újraindítása funkció puffere elfogy, elindítjuk az újraindított műsort, hogy befejezhesse a nézését."
"Before you can play this video, you need to have the {product_name}.",A videó lejátszásához szükség van a következőre: {product_name}.
Before you can record this channel you need to have the {offer_name} offer,A csatorna rögzítésének feltétele a következő ajánlat: {offer_name}
Before you can restart this channel you need to have the {offer_name} offer,A csatorna újraindításának feltétele a következő ajánlat: {offer_name}
CAST,Szereposztás
CLOSE,Bezárás
Cannot play the recording,A felvétel nem játszható le
Cannot record this channel,Erről a csatornáról nem lehet felvételt készíteni
Cannot restart this channel,Ezt a csatornát nem lehet újraindítani
Cast,Szereposztás
Channel not found,A csatorna nem található
Clear_keyboard,ÜRES
Close,Bezárás
Connection error,Kapcsolódási
"Content is only available with offer, for more info call {callcenter_num}","A tartalom csak ajánlattal érhető el, további információért hívja a következő számot: {callcenter_num}"
DISCOVERY,Felderítés
December,December
December_abbrev,Dec
Delete recording,Felvétel törlése
Director,Rendező
Duration,Időtartam
Enter PIN to open adult portal,A felnőtt portál megnyitásához adja meg a PIN kódot
Enter here your 14-digit voucher code,ide írja be a 14 jegyű kuponkódot
Enter parental PIN,Írja be a PIN kód nézni {chan}
Episode ended,Az epizód véget ért
Error,Hiba
