ADULTVOD,Erotheek
APPS,Widgets
All temporarily stored content for pause tv will be removed once you go back to live. Are you sure?,Alle tijdelijke bewaarde content (live TV pauzeren) gaat hierbij verloren. Weet u het zeker?
All temporarily stored content for pause tv will be removed once you zap. Are you sure you want to zap?,Alle tijdelijk opgeslagen data zal verloren gaan als U van zender wisselt. Weet U het zeker?
April,April
April_abbrev,Apr
Are you sure you want to continue and delete all recordings?,Deze kan niet ongedaan worden gemaakt. Weet je zeker dat je alle opnames wilt verwijderen?
August,Augustus
August_abbrev,Aug
BACK,Terug
Back to details,Terug naar overzicht
Backspace,BACKSPACE
"Because you restart tv buffer is going to an end, we start your restarted program, so you are able to finish watching it.","Omdat de Begin Gemist buffer tot een einde komt, spelen we het huidige programma af, zodat u hem nog kunt afkijken."
"Before you can play this video, you need to have the {product_name}.","Voordat je deze video kan afspelen, heb je het '{product_name}' nodig"
Before you can record this channel you need to have the {offer_name} offer,Dit kanaal kan alleen worden opgenomen als u in het bezit van bent van de nPVR Premium optie.
Before you can restart this channel you need to have the {offer_name} offer,"Voordat gebruik kan worden gemaakt van de Begin Gemist toepassing, dient u in het bezit te zijn van het {offer_name}."
CAST,Bezetting
CLOSE,Sluiten
Cannot play the recording,Opname kan niet worden afgespeeld.
Cannot record this channel,Dit kanaal kan niet worden opgenomen
Cannot restart this channel,Begin Gemist is niet beschikbaar
Cast,Bezetting
Channel not found,Geen zender gevonden
Clear_keyboard,WISSEN
Close,Sluiten
Connection error,Geen netwerk verbinding
"Content is only available with offer, for more info call {callcenter_num}",Deze content kan alleen worden afgespeeld met het juiste pakket. Voor meer informatie kunt u bellen naar {callcenter_num}.
DISCOVERY,Ontdekken
December,December
December_abbrev,Dec
Delete recording,Opname verwijderen
Director,Regisseur
Duration,Speelduur
Enter PIN to open adult portal,Voer de ouderlijk toezicht code in om de Erotheek te openen.
Enter here your 14-digit voucher code,Vul hier de 14-cijferige voucher code in
Enter parental PIN,Voer de ouderlijk toezicht code in om {chan} te bekijken.
Episode ended,De aflevering is beëindigd
Error,Fout opgetreden
Expand description,Lees meer
Expiration time exceeded,Vervaltijd overschreden
External page,Externe pagina wordt geopend
FAVORITE,Favoriet
FST scan required,FST scan required
FUTURE,Kijk eerder
Failed to play the recording,Er is helaas een fout opgetreden
Favorites,Favorieten
February,Februari
February_abbrev,Feb
Friday,Vrijdag
Friday_abbrev,Vr
GENRE,Genre
Genre,Genre
Going to standby in {0} sec,Standby modus over {0} seconden
Instant recording failed,Opname mislukt
Instant recording started,Opname gestart
Instant recording stopped,Opname gestopt
Insufficient Funds,Uw maandelijkse limiet is bereikt
Internal storage reached the limit.,Het is niet mogelijk Live TV langer te pauzeren.
It is not possible to rewind further.,Het is niet mogelijk nog verder terug te spoelen.
January,Januari
January_abbrev,Jan
July,Juli
July_abbrev,Jul
June,Juni
June_abbrev,Jun
Manual search,Handmatig zoeken
March,Maart
March_abbrev,Mar
May,Mei
May_abbrev,Mei
Monday,Maandag
Monday_abbrev,Ma
More episodes of,Meer afleveringen van ...
More movies of,Meer films van...
Movie ended,De film is beëindigd
My Account,Mijn Account
New update available,Firmware update beschikbaar
No I don't,Nee
No channels available,Geen zenders beschikbaar
No program information,Geen informatie
No search results found,Niets gevonden
"No, keep watching Restart tv","Nee, blijf 'Begin Gemist' kijken"
"No, stay in Pause TV mode","Nee, ik wil uitgesteld blijven kijken."
"No, stay on current channel","Nee, blijf op het huidige zender"
Not allowed to record last 15 minutes,Niet toegestaan om de laatste 15 minuten op te nemen
Not available,Niet beschikbaar
November,November
November_abbrev,Nov
OSD_dialog_no,Nee
OSD_dialog_yes,Ja
OSD_remove_recordings_header,Opnames verwijderen
October,Oktober
October_abbrev,Okt
