ADULTVOD,ADULTVOD
APPS,Apps
All temporarily stored content for pause tv will be removed once you go back to live. Are you sure?,"Všetok dočasne uložený obsah pre režim Pauza TV bude odstránený, ak prejdete na živé vysielanie. Ste si istý?"
All temporarily stored content for pause tv will be removed once you zap. Are you sure you want to zap?,"Všetok dočasne uložený obsah pre režim Pauza TV bude odstránený, ak prepnete na iný kanál. Ste si istý, že chcete prepnúť na iný kanál?"
April,Apríl
April_abbrev,Apr
Are you sure you want to continue and delete all recordings?,"Ste si istý, že chcete pokračovať a zmazať všetky nahrávania?"
August,August
August_abbrev,Aug
BACK,Späť
Back to details,Späť na podrobnosti
Backspace,Späť
"Because you restart tv buffer is going to an end, we start your restarted program, so you are able to finish watching it.","Vzhľadom k tomu, že Vaša pamäť pre opakované spustenie TV končí, spustíme Váš opakovane spustený program, aby ste ho mohli dopozerať."
"Before you can play this video, you need to have the {product_name}.","Aby ste mohli prehrať toto video, musíte mať {product_name}."
Before you can record this channel you need to have the {offer_name} offer,"Aby ste mohli nahrať tento kanál, musíte mať {offer_name} ponuku"
Before you can restart this channel you need to have the {offer_name} offer,"Aby ste mohli opakovane spustiť tento kanál, musíte mať {offer_name} ponuku"
CAST,Obsadenie
CLOSE,Zatvoriť
Cannot play the recording,Nedá sa prehrať nahrávanie
Cannot record this channel,Nedá sa nahrať tento kanál
Cannot restart this channel,Nedá sa opätovne spustiť tento kanál
Cast,Obsadenie
Channel not found,Kanál nenájdený
Clear_keyboard,Jasný
Close,Zatvoriť
Connection error,Chyba pripojenia
"Content is only available with offer, for more info call {callcenter_num}","Obsah je prístupný len s ponukou, pre bližšie informácie volajte {callcenter_num}"
DISCOVERY,Objav
December,December
December_abbrev,Dec
Delete recording,Zmazať záznam
Director,Režisér
Duration,Trvanie
Enter PIN to open adult portal,Zadajte PIN pre otvorenie portálu pre dospelých
Enter here your 14-digit voucher code,Enter here your 14-digit voucher code
Enter parental PIN,Zadajte rodičovský PIN kód na pozeranie {chan}
Episode ended,Epizóda ukončená
Error,Chyba
Expand description,Rozšíriť popis
Expiration time exceeded,Expiration time exceeded
External page,Otvorenie externé stránky
FAVORITE,obľúbený
FST scan required,FST scan required
FUTURE,Sledujte vopred
Failed to play the recording,Nepodarilo sa prehrať záznam
Favorites,obľúbené
February,Február
February_abbrev,Feb
Friday,Piatok
Friday_abbrev,Pia
GENRE,Žáner
Genre,Žáner
Going to standby in {0} sec,Prechod do pohotovostného režimu o {0} sek.
Instant recording failed,Okamžité nahrávanie sa nepodarilo
Instant recording started,Okamžité nahrávanie bolo spustené
Instant recording stopped,Okamžité nahrávanie bolo zastavené
Insufficient Funds,Nedostatok prostriedkov
Internal storage reached the limit.,Bol dosiahnutý limit vnútornej pamäte.
It is not possible to rewind further.,Nie je možné pretočiť ďalej.
January,Január
January_abbrev,Jan
July,Júl
July_abbrev,Júl
June,Jún
June_abbrev,Jún
Manual search,Manuálne vyhľadávanie
March,Marec
March_abbrev,Mar
May,Máj
May_abbrev,Máj
Monday,Pondelok
Monday_abbrev,Pon
More episodes of,Viac epizód
More movies of,Viac filmov
Movie ended,Film skončil
My Account,Môj účet
New update available,Môj účet
No I don't,Nie
No channels available,Nie sú dostupné žiadne kanály
No program information,Žiadne informácie o programe
No search results found,Neboli nájdené žiadne výsledky vyhľadávania
"No, keep watching Restart tv","Nie, pokračovať v sledovaní v režime Opätovné spustenie TV"
"No, stay in Pause TV mode","Nie, zostať v režime Pauza TV"
"No, stay on current channel","Nie, zostať na aktuálnom kanáli"
Not allowed to record last 15 minutes,Nie je povolené nahrať posledných 15 minút
Not available,Nedostupné
November,November
November_abbrev,Nov
OSD_dialog_no,Nie
OSD_dialog_yes,Áno
OSD_remove_recordings_header,Odstrániť nahrávania
October,Október
October_abbrev,Okt
Offer,Ponuka
Offline,Offline
On demand ended,Na požiadanie ukončené
PAST,Minul
PIN incorrect,Nesprávny PIN
Parental content blocked,Zadajte rodičovskej kontroly PIN kódu
Parental control,Rodičovská kontrola
Pause TV buffer reached,Dosiahnutá pamäť pre režim Pauza TV
PauseTV,PauzaTV
Play from beginning,Prehrať od začiatku
Play recording,Prehrať záznam
Play video,Prehrať video
Please check your cables and internet connection,"Skontrolujte, prosím, Vaše káble a internetové pripojenie"
Please choose a movie deal,"Vyberte, prosím, balíček filmov"
Please choose payment option,"Vyberte, prosím, spôsob platby"
Preparing the recording,Príprava nahrávania
Price,Cena
Price from,Cena od
Program ended,Program ukončený
RADIO,Rádio
RATE,Hodnotiť
RECORDINGS,Nahrávky
REMIND,Pripomenúť
RENT EPISODE,Predplatiť epizódu
RENT MOVIE,Predplatiť film
RENT PROGRAM,Predplatiť program
RENTAL_Offers_AcceptBtn,Platba odobriť
