Actions,Aktionen
Audio {1},Audio {1}
BACK,Zurück
Bookmark,Lesezeichen
CAST,Besetzung
Enter your 4 digit purchase code here,Geben Sie hier Ihren 4-stelligen Kaufcode ein
FAVORITE,Favorit
GENRE,Genre
More,Mehr
Multiaudio,Multiaudio
PROMO,Promo
Pause TV,PauseTV
Prime,Primetime
RATE THIS MOVIE,Bewerte diesen Film
RENT,Leihen
RENT MOVIE,Film Leihen
Recommendations,Empfehlungen
Remove channel favorite,Kanal von Favoriten entfernen
Renting failed,Leihen fehlgeschlagen
Set channel favorite,Kanal zu Favoriten hinzufügen
Social,Social
Subtitles,Subtitles
Subtitles {1},Subtitles {1}
Teletext,Teletext
WATCH MOVIE,Wiedergabe
airdate:,Veröffentlichungsdatum
catchup,Replay TV
live,live
off,off
recording,Aufnahme
replay,Erneute Wiedergabe
{d:Td} days remaining,{d:Td} Tage verbleibend
{hours} hours remaining,{hours} Stunden verbleibend
{mins} minutes remaining,{mins} Minuten verbleibend
