Actions,Actions
Audio {1},Audio {1}
BACK,Back
Bookmark,Bookmark
CAST,Cast
Enter your 4 digit purchase code here,Enter your 4 digit purchase code
FAVORITE,Favorite
GENRE,Genre
More,More
Multiaudio,Multiaudio
PROMO,Promo
Pause TV,Pause TV
Prime,Prime time
RATE THIS MOVIE,Rate this movie
RENT,Rent
RENT MOVIE,Rent movie
Recommendations,Recommendations
Remove channel favorite,Remove channel favorite
Renting failed,Rental failed
Set channel favorite,Set channel favorite
Social,Social
Subtitles,Subtitles
Subtitles {1},Subtitles {1}
Teletext,Teletext
WATCH MOVIE,Watch movie
airdate:,airdate:
catchup,catchup
live,live
off,off
recording,recording
replay,replay
{d:Td} days remaining,{d:Td} days remaining
{hours} hours remaining,{hours} hours remaining
{mins} minutes remaining,{mins} minutes remaining
