Actions,Fonctions
Audio {1},Audio {1}
BACK,Précédent
Bookmark,Signet
CAST,Distribution
Enter your 4 digit purchase code here,Introduisez ici votre code d'achat à 4 chiffres
FAVORITE,Favori
GENRE,Genre
More,Plus
Multiaudio,Multiaudio
PROMO,Promo
Pause TV,Pause TV
Prime,Prime time
RATE THIS MOVIE,Notez ce film
RENT,Louer
RENT MOVIE,Louer film
Recommendations,Suggestions
Remove channel favorite,Supprimer chaîne favorite
Renting failed,Échec de la location
Set channel favorite,Définir chaîne favorite
Social,Social
Subtitles,Subtitles
Subtitles {1},Subtitles {1}
Teletext,Teletext
WATCH MOVIE,Regarder film
airdate:,date de diffusion:
catchup,Rattrapage
live,Direct
off,off
recording,Enregistrement
replay,Replay
{d:Td} days remaining,{dd} jours restants
{hours} hours remaining,{hours} heures restantes
{mins} minutes remaining,{mins} minutes restantes
