ACTIVATE,aktivieren
Acties,Aktivitäten
Actions,Aktionen
Alternate DNS server,Alternativer DNS-Server
"An error occurred, please try again later","Es ist ein Fehler aufgetreten, bitte versuchen Sie es später noch einmal"
Apply factory settings to the decoder,Werkseinstellungen an den Decoder anwenden
Are you sure you want the box to auto detect DiSEqC configuration?,"Sind Sie sicher, dass die Box zur automatischen Erkennung der DiSEqC-Konfiguration übergehen soll?"
Are you sure you want the box to perform channels scanning?,"Sind Sie sicher, dass Sie an den Decoder ein Kanälen Scan durchführen möchten?"
Are you sure you want to apply factory settings?,"Sind Sie sicher, Sie wollen die Werkseinstellungen anwenden?"
Are you sure you want to search new updates?,Sind Sie sicher Sie möchten neue Aktualisierungen suchen?
At this moment you reached the minimum speed to be able to enjoy the interactive features,"Ihr Internet hat nun die Mindestgeschwindigkeit erreicht, um die interaktiven Leistungsmerkmale genießen zu können."
At this moment your internet connection was to low to fully enjoy our interactive services. Please check if there are no other services running in the background which influence the internet connection.,"Ihre Internet-Verbindung ist momentan zu langsam, um die interaktiven Funktionen genießen zu können. Deaktivieren Sie die Internetfunktion möglicher Verbraucher (z.B. Notebooks, Smartphones, Tablets, etc.) und versuchen Sie es im Anschluss erneut."
Audio output,Audioausgang
Auto DiSEqC configuration applied,Konfiguration Auto DiSEqC angewendet
Auto detect DiSEqC configuration,Konfiguration Auto DiSEqC automatisch erkennen
"Before you can create a pairing code, you need to have the {product_name}. To activate this, please call {callcenter_num}.","Bevor Sie einen Verbindungscode erstellen können, müssen Sie den {product_name} haben. Um diesen zu aktivieren, rufen Sie bitte {callcenter_num} an."
Branch version,Zweigversion
Build version,Build Version
CHANGE PIN,PIN ändern
Can't create the pairing code,Verbindungscode kann nicht erstellt werden
Can't send diagnostics,Übermittlung der Diagnosedaten fehlgeschlagen
Cancel auto detection,Automatische Erkennung löschen
Cancel downloading,Herunterladen abbrechen
Cancel installing,Abbrechen der Installation
Cancel scanning,Scanauftrag abbrechen
Cancel searching,Suchvorgang abbrechen
Canceling...,Stornierung...
Cancelling search,Suche abbrechen
Cannot check for updates now. Try again later.,Überprüfung auf neue Software-Versionen derzeit nicht möglich.Bitte versuchen Sie es später erneut.
Change FSK,FSK Altersfreigabe ändern
Change PIN,PIN ändern
Channels scanning has been aborted,Channels scanning has been aborted
Check for updates,Nach Aktualisierungen suchen
Checking for updates ...,Nach neuen Software-Versionen wird gesucht...
Classes,Klassen
Confirm new PIN,Neue PIN bestätigen
Confirm your new billing PIN code,Bestätigen Sie Ihre neuen Einkaufs-PIN
Confirm your new parental control PIN code,Bestätigen Sie Ihre neuen Jugendschutz-PIN
Couldn't find default configuration.,Standardkonfiguration konnte nicht gefunden werden.
Create a pairing code,Verbindungscode erstellen
Current configuration:,Aktuelle Konfiguration:
Custom configuration applied,Kundenkonfiguration angewendet
DEACTIVATE,Jugendschutz deaktivieren
DHCP is off,DHCP ist aus
DHCP is on,DHCP ist an
Default configuration applied,Standardkonfiguration angewendet
Default gateway,Standard-Gateway
Default settings,Standardeinstellungen
Device,Gerät
DiSEqC auto scan cancelled,DiSEqC autoscan abgebrochen
DiSEqC configuration,DiSEqC-Konfiguration
DiSEqC configuration alert header,DiSEqC-Konfiguration
DiSEqC_AUTO,Auto
DiSEqC_Cancel,Abbrechen
DiSEqC_MANUAL_CUSTOM,Kundenkonfiguration
DiSEqC_MANUAL_DEFAULT,Bildgröße: Standard
DiSEqC_MANUAL_OFF,Aus
DiSEqC_MANUAL_ON,An
DiSEqC_Save,Speichern
DiSEqC_UNDEFINED,Nicht definiert
DiSEqC_port_unused,Ungenutzt
Diagnostic was send successfully,Die Diagnosedaten konnten erfolgreich übermittelt werden
Diagnostics,Diagnose
Do you want to apply the auto detected configuration?,Möchten Sie die automatisch erkannte Konfiguration anwenden?
Do you want to apply the custom configuration?,Möchten Sie die benutzerdefinierte Konfiguration anwenden?
Do you want to apply the default configuration?,Möchten Sie die Standardkonfiguration anwenden?
"Do you want to reboot your TV decoder, to set the language to {lang}?","Möchten Sie Ihren TV-Decoder neu starten, um die Sprache auf {lang} zu setzen?"
Enter PIN to,"Um den Jugendschutz zu {action}, geben Sie bitte die Jugendschutz-PIN (Standard) ein"
Enter current PIN:,Aktuelle PIN eingeben:
Enter current Parental PIN to change FSK level:,Bitte Jugendschutz-PIN eingeben um FSK zu ändern.
Enter new billing PIN,Neue Einkaufs-PIN eingeben
Enter new parental control PIN,Neue Jugendschutz-PIN eingeben
Environment,Umfeld
Explanation of parental control feature,"Sie haben die Möglichkeit zum Aktivieren / Deaktivieren der Kindersicherungsoption. Nach dem Deaktivieren der Kindersicherung sind alle Inhalte, die als 18+ gekennzeichnet sind, ohne Eingabe des PIN-Codes zugänglich."
FST scanning alert header,Senderliste scan Benachrichtigung header
FST version:,FST version:
FST:,Senderliste:
