ACTIVATE,Activer
Acties,Actions
Actions,Actions
Alternate DNS server,Serveur DNS alternatif
"An error occurred, please try again later","Une erreur s'est produite, veuillez réessayer plus tard"
Apply factory settings to the decoder,Appliquer les paramètres d'usine au décodeur
Are you sure you want the box to auto detect DiSEqC configuration?,Voulez-vous vraiment que le décodeur détecte automatiquement la configuration DiSEqC ?
Are you sure you want the box to perform channels scanning?,Voulez-vous vraiment que le décodeur réalise un balayage des chaînes?
Are you sure you want to apply factory settings?,Voulez-vous vraiment appliquer les paramètres d'usine?
Are you sure you want to search new updates?,Voulez-vous vraiment rechercher de nouvelles mises à jour?
At this moment you reached the minimum speed to be able to enjoy the interactive features,Vous avez maintenant atteint la vitesse minimale pour pouvoir profiter des fonctions interactives
At this moment your internet connection was to low to fully enjoy our interactive services. Please check if there are no other services running in the background which influence the internet connection.,"À ce moment-là, votre connexion Internet était trop faible pour profiter pleinement de nos services interactifs. Vérifiez si d'autres services s'exécutant en arrière-plan influencent la connexion Internet."
Audio output,Sortie audio
Auto DiSEqC configuration applied,Configuration DiSEqC automatique appliquée
Auto detect DiSEqC configuration,Détection automatique de la configuration du DiSEqC
"Before you can create a pairing code, you need to have the {product_name}. To activate this, please call {callcenter_num}.","Avant de pouvoir créer un code d'appairage, vous devez avoir le produit {product_name}. Pour l'activer, appelez le {callcenter_num}."
Branch version,Version succursale
Build version,Version build
CHANGE PIN,Modifier code PIN
Can't create the pairing code,Impossible de créer le code d'appairage
Can't send diagnostics,Impossible d'envoyer des diagnostics
Cancel auto detection,Annuler la détection automatique
Cancel downloading,Annuler le téléchargement
Cancel installing,Annuler l'installation
Cancel scanning,Annuler balayage
Cancel searching,Annuler recherche
Canceling...,Annulation en cours...
Cancelling search,Annulation de la recherche
Cannot check for updates now. Try again later.,Impossible de vérifier les mises à jour maintenant. Réessayez ultérieurement.
Change FSK,Modifier contrôle parental
Change PIN,Modifier code PIN
Channels scanning has been aborted,Channels scanning has been aborted
Check for updates,Vérifier les mises à jour
Checking for updates ...,Vérification des mises à jour...
Classes,Classes
Confirm new PIN,Confirmer nouveau code PIN
Confirm your new billing PIN code,Confirmez votre nouveau code PIN de payement
Confirm your new parental control PIN code,Confirmez votre nouveau code PIN de contrôle parental
Couldn't find default configuration.,Configuration par défaut introuvable
Create a pairing code,Créez un code d'appairage
Current configuration:,Configuration actuelle :
Custom configuration applied,Configuration personnalisée appliquée
DEACTIVATE,Désactiver
DHCP is off,DHCP est désactivé
DHCP is on,DHCP est activé
Default configuration applied,Configuration par défaut appliquée
Default gateway,Passerelle par défaut
Default settings,Paramètres par défaut
Device,Appareil
DiSEqC auto scan cancelled,Balayage automatique DiSEqC annulé
DiSEqC configuration,Configuration DiSEqC
DiSEqC configuration alert header,Configuration DiSEqC
DiSEqC_AUTO,Auto
DiSEqC_Cancel,Annuler
DiSEqC_MANUAL_CUSTOM,Personnalisé
DiSEqC_MANUAL_DEFAULT,Défaut
DiSEqC_MANUAL_OFF,éteint
DiSEqC_MANUAL_ON,allumé
DiSEqC_Save,Sauvegarder
DiSEqC_UNDEFINED,Indéfini
DiSEqC_port_unused,Inutilisé
Diagnostic was send successfully,Diagnostique envoyé avec succès
Diagnostics,Diagnostiques
Do you want to apply the auto detected configuration?,Voulez-vous appliquer la configuration détectée automatiquement ?
Do you want to apply the custom configuration?,Voulez-vous appliquer la configuration personnalisée ?
Do you want to apply the default configuration?,Voulez-vous appliquer la configuration personnalisée ?
"Do you want to reboot your TV decoder, to set the language to {lang}?","Voulez-vous redémarrer votre décodeur TV, pour définir la langue en {lang} ?"
Enter PIN to,Introduisez un code PIN pour
Enter current PIN:,Introduisez le code PIN actuel
Enter current Parental PIN to change FSK level:,Introduisez un code PIN parental pour modifier le niveau FSK
Enter new billing PIN,Introduisez un nouveau code PIN de payement
Enter new parental control PIN,Introduisez le nouveau code PIN de contrôle parental
Environment,Environnement
Explanation of parental control feature,"Vous avez la possibilité d'activer / désactiver l'option de contrôle parental. Après la désactivation du contrôle parental, tout le contenu qui est marqué comme adulte peut être consulté sans entrer le code PIN."
FST scanning alert header,Alerte balayage FST header
FST version:,FST version:
FST:,FST:
Factory settings,Réglages d'usine
Factory_settings_popup_header,Paramètres_usine_popup_header
Firmware type,Type de logiciel
