ACTIVATE,﻿Aktiválás
Acties,Műveletek
Actions,Műveletek
Alternate DNS server,Alternatív DNS-kiszolgáló
"An error occurred, please try again later","Hiba történt, kérjük, próbálja meg újra"
Apply factory settings to the decoder,Alkalmazza gyári alapbeállításokat a dekóder
Are you sure you want the box to auto detect DiSEqC configuration?,"Biztosan azt szeretné, hogy a készülék automatikusan érzékelje a DiSEqC-konfigurációt?"
Are you sure you want the box to perform channels scanning?,"Biztos benne, hogy szeretné, hogy a dekóder elvégzésére csatorna szkennelés?"
Are you sure you want to apply factory settings?,"Biztos benne, hogy szeretné alkalmazni a gyári beállításokat?"
Are you sure you want to search new updates?,Biztosan szeretne keresni új frissítéseket?
At this moment you reached the minimum speed to be able to enjoy the interactive features,"Elérte a minimális sebességet, amelynél élvezhetővé válnak az interaktív funkciók"
At this moment your internet connection was to low to fully enjoy our interactive services. Please check if there are no other services running in the background which influence the internet connection.,"Az internetkapcsolata túl lassú volt az interaktív szolgáltatások teljes kihasználásához. Ellenőrizze, hogy nem futnak-e olyan egyéb szolgáltatások a háttérben, amelyek befolyásolják az internetkapcsolatot."
Audio output,Hangkimenet
Auto DiSEqC configuration applied,Megtörtént az automatikus DiSEqC-konfiguráció alkalmazása
Auto detect DiSEqC configuration,DiSEqC-konfiguráció automatikus érzékelése
"Before you can create a pairing code, you need to have the {product_name}. To activate this, please call {callcenter_num}.",A párosítási kód létrehozásához szükség van a következőre: {product_name}. Az aktiváláshoz hívja a következő számot: {callcenter_num}.
Branch version,Ágverzió
Build version,Programverzió
CHANGE PIN,PIN kód módosítása
Can't create the pairing code,Nem lehet párosítási kódot létrehozni
Can't send diagnostics,Nem sikerült elküldeni a diagnosztikai adatokat
Cancel auto detection,Automatikus érzékelés megszakítása
Cancel downloading,Mégsem letöltés
Cancel installing,Mégsem telepítése
Cancel scanning,Mégsem szkennelés
Cancel searching,Mégsem keres
Canceling...,Törlés ...
Cancelling search,Törlése keresés
Cannot check for updates now. Try again later.,Most nem lehet frissítéseket keresni. Próbálja meg ismét később.
Change FSK,Változás érettségi beállítás
Change PIN,PIN kód módosítása
Channels scanning has been aborted,Channels scanning has been aborted
Check for updates,Frissítések keresése
Checking for updates ...,Frissítések keresése...
Classes,Osztályok
Confirm new PIN,Új PIN kód megerősítése
Confirm your new billing PIN code,Új számlázási PIN kód megerősítése
Confirm your new parental control PIN code,Új szülői felügyeleti PIN kódja megerősítése
Couldn't find default configuration.,Nem található alapértelmezett konfiguráció.
Create a pairing code,Párosítási kód létrehozása
Current configuration:,Jelenlegi konfiguráció:
Custom configuration applied,Megtörtént az egyéni konfiguráció alkalmazása
DEACTIVATE,Aktiválás megszüntetése
DHCP is off,A DHCP ki van kapcsolva
DHCP is on,A DHCP be van kapcsolva
Default configuration applied,Megtörtént az alapértelmezett konfiguráció alkalmazása
