ACTIVATE,Aktivovať
Acties,Acties
Actions,Akcie
Alternate DNS server,Striedať DNS server
"An error occurred, please try again later","Vyskytla sa chyba, skúste to, prosím, neskôr"
Apply factory settings to the decoder,Apply factory settings to the decoder
Are you sure you want the box to auto detect DiSEqC configuration?,"Ste si istý, že chcete, aby bola skrinka v konfigurácii automatickej detekcie DiSEqC?"
Are you sure you want the box to perform channels scanning?,Are you sure you want the box to perform channels scanning?
Are you sure you want to apply factory settings?,Are you sure you want to apply factory settings?
Are you sure you want to search new updates?,Are you sure you want to search new updates?
At this moment you reached the minimum speed to be able to enjoy the interactive features,V tomto momente ste dosiahli minimálnu rýchlosť na využívanie interaktívnych funkcií
At this moment your internet connection was to low to fully enjoy our interactive services. Please check if there are no other services running in the background which influence the internet connection.,"V tomto momente bolo Vaše internetové pripojenie príliš nízke na to, aby ste mohli využívať naše interaktívne služby. Skontrolujte, či v pozadí nie sú spustené iné služby, ktoré by mohli ovplyvňovať internetové pripojenie."
Audio output,Audio výstup
Auto DiSEqC configuration applied,Aplikovaná automatická konfigurácia DiSEqC
Auto detect DiSEqC configuration,Konfigurácia automatického detekovania DiSEqC
"Before you can create a pairing code, you need to have the {product_name}. To activate this, please call {callcenter_num}.","Aby ste mohli vytvoriť párovací kód, musíte mať {product_name}. Pre aktiváciu, prosím, zavolajte na {callcenter_num}."
Branch version,Branch verzia
Build version,Build verzia
CHANGE PIN,Zmeniť pin
Can't create the pairing code,Nedá sa vytvoriť párovací kód
Can't send diagnostics,Nie je možné odoslať diagnostiku
Cancel auto detection,Zrušiť automatickú diagnostiku
Cancel downloading,Cancel downloading
Cancel installing,Cancel installing
Cancel scanning,Cancel scanning
Cancel searching,Cancel searching
Canceling...,Canceling...
Cancelling search,Cancelling search
Cannot check for updates now. Try again later.,Momentálne nie je možné vyhľadávať aktualizácie. Skúste to neskôr.
Change FSK,
Change PIN,Zmeniť PIN
Channels scanning has been aborted,Channels scanning has been aborted
Check for updates,Vyhľadať aktualizácie
Checking for updates ...,Vyhľadávam aktualizácie...
Classes,Classes
Confirm new PIN,Potvrďte nový PIN
Confirm your new billing PIN code,Potvrďte svoj nový PIN kód pre fakturáciu
Confirm your new parental control PIN code,Potvrďte svoj nový PIN kód rodičovskej kontroly
