Checking for updates.,Checking for updates.
Don't switch off the power untill the installation has finished. Your TV decoder will restart automaticaly.,Don't switch off the power untill the installation has finished. Your TV decoder will restart automaticaly.
Downloading the new firmware to your decoder.,Downloading the new firmware to your decoder.
Error occured. TV decoder will reboot automatically.,Error occured. TV decoder will reboot automatically.
Firmware upgrade,Firmware upgrade
Installing the new firmware on your decoder.,Installing the new firmware on your decoder.
No update available now. It will be available at {date}. TV decoder will reboot automatically.,No update available now. It will be available at {date}. TV decoder will reboot automatically.
No update available. TV decoder will reboot automatically.,No update available. TV decoder will reboot automatically.
Updating,Updating
Your TV decoder has been updated. It will reboot automatically.,Your TV decoder has been updated. It will reboot automatically.
