All Programs,Alle Programme
April,April
August,August
BadUserNameOrPasswordLoginErrorMessage,wrong username or password(Missing Translation)
"Before you can play this video, you need to have the '{product_name}'","Before you can play this video, you need to have the '{product_name}'"
Before you can playback recordings on this device you need to upgrade to the {offer} offer.,Before you can playback recordings on this device you need to upgrade to the {offer} offer.
Before you can record this channel you need to have the {offer} offer,Before you can record this channel you need to have the {offer} offer
COOKIE_INFO,Door gebruik te maken van deze website gaat u akkoord met het gebruik van cookies op deze website van
Cannot record this channel,Cannot record this channel
Cast,Besetzung
Channels,Kanäle
Code incorrect,Falscher Code
Connect,Verbinden
Continue,Weiter
Continue watching,Continue watching
Date,Date
Days,Tage
December,Dezember
Director,Regie
Duration,Dauer
EOD,Erotic
Erotic,Erotik
Error occured,Es ist ein Fehler aufgetreten
Favorite,Favorit
Favorite Movies,Favorisierte Filme
Favorite catchups,Favorite catchups
Favorite channels,Favorite channels
Favorites,Favoriten
Feature not available description,Diese Funktion steht derzeit leider nicht zur Verfügung. Wir hoffen auf Abhilfe in Kürze.
February,Februar
Films,Films
Films & Series,Video Shop
Friday,Freitag
Genre:,Genre:
Genres,Genres
I have read the general terms and fully agree.,Ich habe die allgemeinen Geschäftsbedingungen gelesen und akzeptiert.
IFRAME_PROGRAM_INHOME_MASSAGE,Try to watch this program on box
"It's not possible to rent this movie, your online wallet doesn't have enough money. Please contact the service desk.","It's not possible to rent this movie, your online wallet doesn't have enough money. Please contact the service desk."
January,Januar
July,Juli
June,Juni
LOGIN_BUTTON_TEXT,login
Live Programs,Jetzt im TV
March,März
May,Mai
Menu Settings Mobile services Generate a code,Menue > Einstellungen > Gerätemanagement > Code generieren
Monday,Montag
More information,Weitere Informatioen
NO_PROGRAM_INFORMATION,No program information
New,Neu
New recordings,Neue Aufnahmen
Newest,Newest
Newest movies,Neueste Filme
No,Nein
No playback on this device.,No playback on this device.
NoMoreRoom,no more room available
November,November
OK,Ok
October,Oktober
Offers,Filmpaket
On Demand,On Demand
POPUP_LOGIN_DESC,You have to be logged in to see that content.
POPUP_LOGIN_TITLE,Log in
